CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.9650000E-10	0.0000000E+0	2.9650000E-10
-2.4750000E+1	1.2280000E-10	0.0000000E+0	1.2280000E-10
-4.4500000E+1	9.1100000E-11	0.0000000E+0	9.1100000E-11
-6.4250000E+1	7.4800000E-11	0.0000000E+0	7.4800000E-11
-8.4000000E+1	6.4900000E-11	0.0000000E+0	6.4900000E-11
-1.0375000E+2	5.8900000E-11	0.0000000E+0	5.8900000E-11
-1.2350000E+2	5.0700000E-11	0.0000000E+0	5.0700000E-11
-1.4325000E+2	4.7700000E-11	0.0000000E+0	4.7700000E-11
-1.6300000E+2	4.5500000E-11	0.0000000E+0	4.5500000E-11
-1.8275000E+2	4.3200000E-11	0.0000000E+0	4.3200000E-11
-2.0250000E+2	4.1500000E-11	0.0000000E+0	4.1500000E-11
-2.2225000E+2	4.0100000E-11	0.0000000E+0	4.0100000E-11
-2.4200000E+2	3.9100000E-11	0.0000000E+0	3.9100000E-11
-2.6175000E+2	3.8900000E-11	0.0000000E+0	3.8900000E-11
-2.8150000E+2	3.9000000E-11	0.0000000E+0	3.9000000E-11
-3.0125000E+2	3.8700000E-11	0.0000000E+0	3.8700000E-11
-3.2100000E+2	3.8700000E-11	0.0000000E+0	3.8700000E-11
-3.4075000E+2	3.8900000E-11	0.0000000E+0	3.8900000E-11
-3.6050000E+2	3.9400000E-11	0.0000000E+0	3.9400000E-11
-3.8025000E+2	4.4900000E-11	0.0000000E+0	4.4900000E-11
-4.0000000E+2	3.9300000E-11	0.0000000E+0	3.9300000E-11
