CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.9750000E-10	0.0000000E+0	2.9750000E-10
-2.4750000E+1	1.2330000E-10	0.0000000E+0	1.2330000E-10
-4.4500000E+1	9.1800000E-11	0.0000000E+0	9.1800000E-11
-6.4250000E+1	7.4900000E-11	0.0000000E+0	7.4900000E-11
-8.4000000E+1	6.5200000E-11	0.0000000E+0	6.5200000E-11
-1.0375000E+2	5.9200000E-11	0.0000000E+0	5.9200000E-11
-1.2350000E+2	5.1200000E-11	0.0000000E+0	5.1200000E-11
-1.4325000E+2	4.7800000E-11	0.0000000E+0	4.7800000E-11
-1.6300000E+2	4.5000000E-11	0.0000000E+0	4.5000000E-11
-1.8275000E+2	4.3500000E-11	0.0000000E+0	4.3500000E-11
-2.0250000E+2	4.1600000E-11	0.0000000E+0	4.1600000E-11
-2.2225000E+2	4.0400000E-11	0.0000000E+0	4.0400000E-11
-2.4200000E+2	3.8600000E-11	0.0000000E+0	3.8600000E-11
-2.6175000E+2	3.8700000E-11	0.0000000E+0	3.8700000E-11
-2.8150000E+2	3.8500000E-11	0.0000000E+0	3.8500000E-11
-3.0125000E+2	3.8500000E-11	0.0000000E+0	3.8500000E-11
-3.2100000E+2	3.8700000E-11	0.0000000E+0	3.8700000E-11
-3.4075000E+2	3.8400000E-11	0.0000000E+0	3.8400000E-11
-3.6050000E+2	3.8200000E-11	0.0000000E+0	3.8200000E-11
-3.8025000E+2	3.8700000E-11	0.0000000E+0	3.8700000E-11
-4.0000000E+2	3.8700000E-11	0.0000000E+0	3.8700000E-11
